n_components,estimator,axis,fit_fwhm_mm,fit_sigma_mm,fit_mu_mm,mean_abs_error_mm,population_std_mm,low_uncertainty_rmse_mm,low_uncertainty_fit_fwhm_mm,low_uncertainty_population_std_mm,low_uncertainty_selected_fraction,fit_ok,low_uncertainty_fit_ok,mean_3d_error_mm,median_3d_error_mm,p68_3d_error_mm
16,mode,x,1.5873519494830137,0.6740347980819591,0.07515048170339123,0.8316473791409896,1.352086741388564,0.5769433100528795,1.0379678055812698,0.5747119644122339,0.5,True,True,2.109257033709357,1.4973216974310553,2.2810865435797565
1,mean,y,1.669091875932129,0.7087438963618382,0.024102010574346366,0.8461288784665908,1.3703192509021338,0.5979435792614135,1.1339900910711849,0.5976861798040094,0.5,True,True,2.2150390532225828,1.7269923729009746,2.4499392583018498
4,mean,y,1.698790466696683,0.7213547629285278,-0.02081257139328929,0.8423616857044371,1.393511966758531,0.5830408955675889,1.0664406582050874,0.579915873532982,0.5,True,True,2.1094837391511287,1.6009810586279163,2.3080857530709102
8,mean,y,1.8149301956666202,0.7706709960367814,-0.04112516107938164,0.8456294046134224,1.3857406291437786,0.5976226022757066,1.1201568084531277,0.597621990624749,0.5,True,True,2.06912140504224,1.5557566695049014,2.2564662978986534
16,mean,y,1.6348254385919712,0.6941933921834272,0.029663138825643677,0.8355033791861266,1.3795609273248648,0.5844633027202487,1.0692345038563342,0.5843967655870539,0.5,True,True,2.0492627249664834,1.5396734058090153,2.2620839357268148
1,median,y,1.669091875932129,0.7087438963618382,0.024102010574346366,0.8461288784665908,1.3703192509021338,0.5979435792614135,1.1339900910711849,0.5976861798040094,0.5,True,True,2.21503905322272,1.726992372914271,2.449939258315225
4,median,y,1.698790466696683,0.7213547629285278,-0.02081257139328929,0.8423616857044371,1.393511966758531,0.5830408955675889,1.0664406582050874,0.579915873532982,0.5,True,True,2.101366666991099,1.5664058668204548,2.2837982368276455
8,median,y,1.8149301956666202,0.7706709960367814,-0.04112516107938164,0.8456294046134224,1.3857406291437786,0.5976226022757066,1.1201568084531277,0.597621990624749,0.5,True,True,2.0593815171935663,1.5169467086141433,2.2288831655415193
16,median,y,1.6348254385919712,0.6941933921834272,0.029663138825643677,0.8355033791861266,1.3795609273248648,0.5844633027202487,1.0692345038563342,0.5843967655870539,0.5,True,True,2.0287945363220494,1.4868101231754731,2.2115904164917985
1,mode,y,1.669091875932129,0.7087438963618382,0.024102010574346366,0.8461288784665908,1.3703192509021338,0.5979435792614135,1.1339900910711849,0.5976861798040094,0.5,True,True,2.2145407334167975,1.7262314489736859,2.4494241837987962
4,mode,y,1.698790466696683,0.7213547629285278,-0.02081257139328929,0.8423616857044371,1.393511966758531,0.5830408955675889,1.0664406582050874,0.579915873532982,0.5,True,True,2.165857871002509,1.5840946050472366,2.3395332029155105
8,mode,y,1.8149301956666202,0.7706709960367814,-0.04112516107938164,0.8456294046134224,1.3857406291437786,0.5976226022757066,1.1201568084531277,0.597621990624749,0.5,True,True,2.1440651146948113,1.5418852970579606,2.3124773971161443
16,mode,y,1.6348254385919712,0.6941933921834272,0.029663138825643677,0.8355033791861266,1.3795609273248648,0.5844633027202487,1.0692345038563342,0.5843967655870539,0.5,True,True,2.109257033709357,1.4973216974310553,2.2810865435797565
1,mean,z,3.887816471429721,1.6508774825603911,0.12304485067297942,1.5159221809268817,2.0416572948631453,1.4789111533010535,3.05455388782537,1.4788781457632196,0.5,True,True,2.2150390532225828,1.7269923729009746,2.4499392583018498
4,mean,z,3.289432759285722,1.396786734303916,-0.021292932309056815,1.3884694019055184,1.9392544893805186,1.3345547644103173,2.3041097417028675,1.3305350179007316,0.5,True,True,2.1094837391511287,1.6009810586279163,2.3080857530709102
